,Hypervolume
0,13923.0
1,27572.851565539197
2,13934.05173536556
3,14695.295942433531
4,38541.71397439437
5,51109.14140891333
6,56071.29514967148
7,56973.75170310365
8,56902.45643352165
9,60230.36415266167
10,60230.36066226069
11,60230.36849914727
12,60230.36531647779
13,60205.99686646903
14,60205.99771737175
15,60155.247925255746
16,60429.13008315902
17,60680.18330391735
18,61604.506527401376
19,61610.816195745516
20,61611.05586038377
21,61777.19055049302
22,61775.166551336864
23,61775.097218338764
