,Opportunity_cost
0,0.0
1,0.17848609256637854
2,0.2186914815811392
3,0.24175276086239317
4,0.24175276086239317
5,0.24175276086239317
6,0.36104033490527543
7,0.36104033490527543
8,0.38415501214996545
9,0.38415501214996545
10,0.39123297917109956
11,0.39123297917109956
12,0.39123297917109956
13,0.4306628388384923
14,0.44837558252095505
15,0.45920144641268706
16,0.4837981674551597
17,0.4837981674551597
18,0.4837981674551597
19,0.48818937859969674
20,0.48818937859969674
21,0.48818937859969674
22,0.48818937859969674
23,0.5183054868563813
24,0.5183054868563813
25,0.5183054868563813
26,0.5660454650344083
27,0.5660454650344083
28,0.5703458047810509
29,0.5737428125830709
30,0.5739090586101318
31,0.5760839609445267
32,0.5761230258610223
33,0.5771338552287446
34,0.5771338552287446
